,모델명,하이퍼 파라미터,샘플링 기법,사용피쳐,precision,recall,accuracy,f1-score,roc_auc 커브 면적
0,knn_all_default,default,no_sampling,all,0.12962962962962962,0.018308631211857017,0.8975747776879547,0.0320855614973262,0.5554462163226423
1,dt_all_default,default,no_sampling,all,0.24258970358814352,0.27114210985178727,0.8539207760711398,0.2560724578015644,0.592311676862987
2,rf_all_default,default,no_sampling,all,0.5706521739130435,0.09154315605928509,0.9093775262732418,0.15777610818933133,0.7928209141443484
3,ad_all_default,default,no_sampling,all,0.61875,0.08631211857018309,0.9103476151980598,0.1514919663351186,0.8161795807759024
4,xg_all_default,default,no_sampling,all,0.5393700787401575,0.11944202266782912,0.9088924818108327,0.19557458957887225,0.80894711096227
